نام کوئست ها,دسته بندی,شرط تکمیلی,نوع پاداش,اولویت,متغیر
آفتاب گیر روزانه,روزانه,جمع آوری sun_amount واحد خورشید در طول یک روز,sun_amount / ۱۰۰ سکه,متوسط,3000-4000-5000
شکارچی chapter,اصلی,شکست دادن ۵۰ زامبی از فصل chapter,۱۰ پک دانه,بالا,هرکدام از فصل‌های بازی
plant باز حرفه‌ای,روزانه,ده تا زامبی را فقط با plant بکش,گیاه جدید شانسی,بالا,هر گیاهی که قابلیت کشتن دارد
only cactus,روزانه,ده تا زامبی را فقط با کاکتوس بکش,۲۰ الماس (Gem),بالا,
گیاه خوار اقتصادی,اصلی,پیروزی در یک مرحله بدون از دست دادن بیش از n گیاه,۲۰ - n پک دانه,بالا,0-1-2-3-4-5
استاد دفاع,چالش (Epic),اتمام یک مرحله دقیقا با صفر خورشید,۲۰۰ الماس (Gem),بحرانی,
سرعت عمل,اصلی,کشتن ۱۰ زامبی در کمتر از ۳۰ ثانیه از شروع موج اول حمله زامبی ها,۵۰۰ سکه (Coin),متوسط,
تخریب گر حرفه ای,روزانه,استفاده از ۳ گیاه انفجاری در یک مرحله,۱۰۰ سکه (Coin),کم,
تقارن,روزانه,باغچه بازی در نهایت باید متقارن باشد,۵۰۰ سکه (Coin),بالا,
کشتار خانوادگی,روزانه,تنها از گیاهان family_type برای کشتن زامبی ها استفاده شود,۱۰۰۰ سکه,متوسط,خانواده‌ی گیاهان
شکوفایی در محدودیت‌ها,روزانه,برای برد در مرحله از هیچ گیاهی از خانواده family_type استفاده نشود,۱۰۰ الماس (Gem),بالا,خانواده‌ی گیاهان
شب یا صبح,چالش (Epic),تبه پایان رساندن بازی روز با گیاهان شب (mushroom ها),۲۰ الماس (Gem),بالا,
برد پشت برد,روزانه,۵ مرحله را پشت سر هم با بیشترین سختی ببر,۵۰۰۰ سکه(Coin),متوسط,
تقریبا پیروز,روزانه,۱۰ زامبی را در ستون اول ردیفی بکش که چمن‌زن ندارد,۳۰۰ سکه(Coin),متوسط,
OCD نَمَنَ,روزانه,در حالتی مرحله را ببر که هیچ تقارنی در باغچه وجود ندارد (به جز ردیف وسط),۸۰۰ سکه(Coin),متوسط,
روز ابری,روزانه,یک مرحله را تنها با ۳ تا گیاه تولیدکننده خورشید بزن,۱۰ الماس (Gem),بالا,
یه ستون کمتر,روزانه,یک مرحله را در صورتی ببرد که در ستون nام گیاهی نکاشته باشد,۱۰ الماس (Gem),بالا,تعداد ستون‌ها
سطر بی دفاع,روزانه,یک مرحله را در صورتی ببرد که سطر nام را هیچ گیاهی نکاشته باشد,۲۰ الماس (Gem),بالا,تعداد سطرها
صلیب بی دفاع,روزانه, یک مرحله را در صورتی ببرد که ستون و ردیف nام خالی باشد,۲۵ الماس (Gem),بالا,مینیمم تعداد سطر و ستون
,,,,,
